#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Acidicapsa ligni	DSM 25248, LMG 26244, NCCB 100371, VKM B-2677, WH120	yes	no
Acidiferrobacter thiooxydans	DSM 2392, JCM 17358, m-1	yes	no
Acidihalobacter prosperus	DSM 5130, JCM 30709	yes	yes
Acidilobus aceticus	1904, ATCC BAA-268, DSM 11585, JCM 11320	yes	no
Acidilobus saccharovorans	345-15, DSM 16705, VKM B-2471	yes	yes
Acidilobus sulfurireducens	18D70	yes	no
Acidimicrobium ferrooxidans	DSM 10331, ICP, JCM 15462, NBRC 103882	yes	yes
Acidiphilium acidophilum	ATCC 27807, CIP 104483, DSM 700	yes	no
Acidiphilium angustum	ATCC 35903, KLB, NCCB 86036	yes	yes
Acidiphilium cryptum	ATCC 33463, DSM 2389, IFO 14242, JCM 21277, Lhet2, NBRC 14242	yes	no
Acidiphilium iwatense	KCTC 23505, MS8, NBRC 107608	yes	no
Acidiphilium multivorum	AIU 301, DSM 11245, JCM 8867, NBRC 100785, NBRC 100883	yes	yes
Acidiphilium organovorum	ATCC 43141, NCCB 86037	yes	no
Acidiphilium rubrum	ATCC 35905, OP	yes	yes
Acidipila dinghuensis	CGMCC 1.13007, DHOF10, KCTC 42631	yes	no
Acidipila rosea	AP8, KCTC 23427, NBRC 107607	yes	no
Acidiplasma aeolicum	DSM 18409, JCM 14615, V	yes	yes
Acidiplasma cupricumulans	BH2, DSM 16651, JCM 13668	yes	yes
Acidipropionibacterium acidipropionici	ATCC 25562, CGMCC 1.2230, CIP 103025, DSM 4900, KCTC 5020, NCIB 11858, NCIMB 11858, VPI 399	yes	yes
Acidipropionibacterium damnosum	CECT 8062, DSM 25450, IGBL13	yes	no
Acidipropionibacterium jensenii	ATCC 4868, CCUG 48883, CIP 103028, DSM 20535, NCDO 850, NCIB 8071	yes	yes
Acidipropionibacterium microaerophilum	CNCM I-2360, DSM 13435, M5	yes	no
Acidipropionibacterium olivae	CECT 8061, DSM 25436, IGBL1	yes	no
Acidipropionibacterium thoenii	ATCC 4874, CCM 1865, CCUG 28149, CIP 103029, DSM 20276, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCFB 568, NCIB 5966	yes	yes
Acidisoma sibiricum	DSM 21000, TPB606, VKM B-2487	yes	no
Acidisoma tundrae	DSM 19999, VKM B-2488, WM1	yes	no
Acidisphaera rubrifaciens	DSM 16009, HS-AP3, JCM 10600	yes	yes
Aciditerrimonas ferrireducens	DSM 45281, IC-180, JCM 15389	yes	yes
Acidithiobacillus albertensis	ATCC 35403, DSM 14366	yes	yes
Acidithiobacillus caldus	ATCC 51756, DSM 8584, KU	yes	yes
Acidithiobacillus ferridurans	ATCC 33020, JCM 18981	yes	no
Acidithiobacillus ferriphilus	DSM 100412, JCM 30830, M20	yes	no
Acidithiobacillus ferrivorans	DSM 22755, JCM 15606, NO-37	yes	no
Acidithiobacillus ferrooxidans	ATCC 23270, CIP 104768, DSM 14882	yes	yes
Acidithiobacillus thiooxidans	ATCC 19377, ATCC 19377 [[Thiobacillus concretivorus]], CIP 104597, DSM 14887, JCM 3867, NCIB 8345, NCIB 8345 [[Thiobacillus concretivorus]], NCIMB 8343	yes	yes
Acidithrix ferrooxidans	DSM 28176, JCM 19728, PY-F3	yes	yes
Acidobacterium ailaaui	DSM 27394, LMG 28340, PMMR2	yes	yes
Acidobacterium capsulatum	161, ATCC 51196, DSM 11244, IFO 15755, JCM 7670, NBRC 15755	yes	yes
Acidocella aluminiidurans	AL46, NBRC 104303, VTCC D9-1, VTCC-D9-1	yes	no
Acidocella aminolytica	101, ATCC 51361, DSM 11237, JCM 8796	yes	yes
Acidocella aquatica	DSM 104037, NBRC 112502, Ok2G	yes	no
Acidocella aromatica	DSM 27026, NCCB 100456, PFBC	yes	no
Acidocella facilis	ATCC 35904, NCCB 86038, PW2	yes	yes
Acidomonas methanolica	ATCC 43581, CCUG 37300, CIP 103167, DSM 5432, IMET 10945, JCM 6891, LMG 1668, MB 58, MB58, NBRC 104435, NCCB 89007, NRIC 0498, TK 0705, VKM B-2104	yes	yes
Acidothermus cellulolyticus	11B, ATCC 43068	yes	yes
Acidovorax anthurii	CFBP 3232, CFPB 3232, CIP 107058, DSM 16745, ICMP 13404	yes	no
Acidovorax avenae	ATCC 19860, CCUG 15838, CFBP 2425, CIP 106500, DSM 7227, ICMP 3183, JCM 20985, LMG 2117, NCPPB 1011	yes	yes
Acidovorax avenae subsp. avenae	ATCC 19307, ATCC 19307 [[Pseudomonas rubrilineans]], DSM 7227, DSM 7227 [[Pseudomonas rubrilineans]], LMG 2117, LMG 2117 [[Pseudomonas rubrilineans]], NCPPB 1011, NCPPB 1011 [[Pseudomonas rubrilineans]]	no	no
Acidovorax caeni	DSM 19327, LMG 24103, R-24608	yes	yes
Acidovorax cattleyae	ATCC 33619, CCUG 21975, CFBP 2423, CIP 106435, DSM 17101, FC-507, IBSBF 209, ICMP 2826, ICPB 30134 (PC21), LMG 2364, NCPPB 961	yes	yes
Acidovorax citrulli	ATCC 29625, CCUG 17393, CFBP 4459, CIP 106436, DSM 17060, FC-247, IBSBF 1851, ICMP 7500, ICPB 30064, LMG 5376, NCPPB 3679	yes	yes
Acidovorax defluvii	BSB411, CCUG 49021, CIP 106824, DSM 12644	yes	no
Acidovorax delafieldii	ATCC 17505, CCUG 1779, CFBP 2442, CFBP 3609, CIP 103303, DSM 64, LMG 5943	yes	no
Acidovorax facilis	ATCC 11228, CCUG 2113, CFBP 2441, CFBP 3608, CIP 103302, DSM 649, LMG 2193, NRRL B-4274	yes	no
Acidovorax kalamii	KCTC 52819, KNDSW-TSA6, MTCC 12652, VTCC-B-910010	no	yes
Acidovorax konjaci	ATCC 33996, CCUG 17394, CFBP 4460, CIP 106439, DSM 7481, ICMP 7733, JCM 2397, K2, LMG 5691, NCPPB 3698, PDDCC 7733	yes	yes
Acidovorax lacteus	JCM 31890, KCTC 52220, M36	yes	no
Acidovorax oryzae	ATCC 19882, FC-143, ICMP 3960, ICPB 30003, ICPB PS177, NCPPB 1392	yes	yes
Acidovorax radicis	DSM 23535, LMG 25767, N35	yes	yes
Acidovorax soli	BL21, JCM 15909, KCTC 22399	yes	no
Acidovorax temperans	ATCC 49665, CCUG 11779, CCUG 29362, CFBP 3610, CIP 103457, DSM 7270, LMG 7169	yes	no
Acidovorax valerianellae	CFBP 4730, DSM 16619, NCPPB 4283	yes	yes
Acidovorax wautersii	CCUG 62584, LMG 26971, NF 1078	yes	no
Acinetobacter albensis	ANC 4874, CCM 8611, CCUG 67281	yes	yes
Acinetobacter antiviralis	KCTC 0699BP, KNF2022	yes	no
Acinetobacter apis	HYN18, JCM 18575, KACC 16906	yes	no
Acinetobacter baumannii	ATCC 19606, CCUG 19096, CIP 70.34, DSM 30007, JCM 6841, LMG 1041, NCCB 85021, NCTC 12156	yes	yes
Acinetobacter baylyi	B2, CIP 107474, DSM 14961	yes	yes
Acinetobacter beijerinckii	58a, CCM 7266, CCUG 51249, LUH 4759, NIPH 838	yes	no
Acinetobacter bereziniae	69, ATCC 17924, CIP 70.12, DSM 25435, LMG 1003, NIPH 521	yes	yes
Acinetobacter bohemicus	ANC 3994, CCM 8462, CCUG 63842, CIP 110496, JCM 18977 [[Acinetobacter pakistanensis]], JCM 189775 [[Acinetobacter pakistanensis]], KCTC 42081 [[Acinetobacter pakistanensis]], LMG 28467 [[Acinetobacter pakistanensis]], NCCP-644 [[Acinetobacter pakistanensis]]	yes	yes
Acinetobacter boissieri	CECT 8128, LMG 26959, SAP 284.1	yes	no
Acinetobacter bouvetii	4B02, CCUG 50766, CIP 107468, DSM 14964	yes	yes
Acinetobacter brisouii	5YN5-8, CIP 110357, DSM 18516, KACC 11602	yes	yes
Acinetobacter calcoaceticus	ATCC 23055, CAIM 17, CCUG 12804, CIP 81.08, CIP 81.8, DSM 30006, JCM 6842, LMG 1046, NCCB 22016, NCTC 12983	yes	yes
Acinetobacter celticus	ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549	yes	yes
Acinetobacter colistiniresistens	CCM 8641, CCUG 67966, CIP 110478, CNCTC 7573, NIPH 2036	no	no
Acinetobacter courvalinii	ANC 3623, CCM 8635, CCUG 67960, CIP 110480	yes	no
Acinetobacter defluvii	CCTCC AB 2016203, GDMCC 1.1101, KCTC 52503, WCHA30	yes	yes
Acinetobacter dijkshoorniae	CECT 9134, JVAP01, LMG 29605	yes	yes
Acinetobacter dispersus	ANC 4105, CCM 8636, CCUG 67961, CIP 110500	yes	no
Acinetobacter equi	114, CCUG 65204, DSM 27228	yes	yes
Acinetobacter gandensis	ANC 4275, DSM 28097, LMG 27960, UG 60467	yes	yes
Acinetobacter genomosp. 15BJ	accession AQFL01000000	no	no
Acinetobacter genomosp. 16BJ	accession APRN00000000	no	no
Acinetobacter gerneri	9A01, CIP 107464, DSM 14967	yes	yes
Acinetobacter guangdongensis	1NM-4, CCTCC AB 2014199, GIMCC 1.656, KCTC 42012	yes	no
Acinetobacter guillouiae	ATCC 11171, CCUG 2491, CIP 63.46, DSM 590, LMG 988, NIPH 522	yes	yes
Acinetobacter gyllenbergii	1271, CCM 7267, CCUG 51248, DSM 22705, NIPH 2150, RUH 422	yes	no
Acinetobacter haemolyticus	ATCC 17906, B40, CCUG 888, CIP 64.3, DSM 6962, LMG 996, Mannheim 2446/60, NCCB 85026, NCTC 12155	yes	yes
Acinetobacter halotolerans	JCM 31009, KACC 18453, KEMB 9005-333, R160	yes	no
Acinetobacter harbinensis	CGMCC 1.12528, HITLi 7, KCTC 32411	yes	yes
Acinetobacter indicus	A648, CCM 7832, CIP 110367, DSM 25388	yes	yes
Acinetobacter johnsonii	ATCC 17909, CCUG 19095, CIP 64.6, DSM 6963, HAMBI 1969, HAMBI 1971, LMG 999, Mannheim 3865/60, NCIMB 12460, NCTC 12154	yes	yes
Acinetobacter junii	17A04 [[Acinetobacter grimontii]], 64.5, ATCC 17908, CCUG 50767 [[Acinetobacter grimontii]], CCUG 889, CIP 107470 [[Acinetobacter grimontii]], CIP 64.5, DSM 14968 [[Acinetobacter grimontii]], DSM 6964, LMG 998, Mannheim 2723/59, NCTC 12153	yes	yes
Acinetobacter kookii	11-0202, JCM 18512, KCTC 32033	yes	no
Acinetobacter kyonggiensis	JCM 17071, KEMC 5401-037, KSL5401-037	yes	no
Acinetobacter lactucae	CCUG 68785, NRRL B-41902	yes	yes
Acinetobacter larvae	ACCC 19936, BRTC-1, JCM 31367	yes	yes
Acinetobacter lwoffii	ATCC 15309, CCUG 33984, CIP 64.10, CIP 644.10, DSM 2403, IMET 10416, JCM 6840, LMG 1029, NCAIM B.01101, NCCB 73001, NCTC 5866	yes	yes
Acinetobacter marinus	DSM 16312, KCTC 12259, SW-3	yes	no
Acinetobacter modestus	CCM 8639, CCUG 67964, CIP 110444, NIPH 236	yes	no
Acinetobacter movanagherensis	Movanagher 4	yes	no
Acinetobacter nectaris	CECT 8127, CIP 110549, LMG 26958, SAP 763.2	yes	yes
Acinetobacter nosocomialis	CCM 7791, LMG 10619, NIPH 2119, RUH 2376	yes	yes
Acinetobacter oleivorans	DR1, JCM 16667, KCTC 23045	yes	yes
Acinetobacter oryzae	B23, CGMCC 1.10689, LMG 25575	yes	no
Acinetobacter parvus	CCM 7030, CCUG 48800, DSM 16617, LMG 21765, LUH 4616, NIPH 384	yes	yes
Acinetobacter piscicola	CICC 24241, JCM 32101, KCTC 62134, LW15, MCCC 1K03337	yes	yes
Acinetobacter pittii	ATCC 19004, CIP 70.29, DSM 25618, LMG 1035, NIPH 519, RUH 2206	yes	yes
Acinetobacter plantarum	CCTCC AB 2015123, KCTC 42611, THG-SQM11	yes	no
Acinetobacter populi	CFCC 11170, KCTC 42272, PBJ7	yes	yes
Acinetobacter pragensis	ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530	yes	yes
Acinetobacter proteolyticus	631, Bouvet &amp; Jeanjean 631, CCM 8640, CCUG 67965, CIP 110482, Gilardi GLG 4638, NIPH 809	yes	no
Acinetobacter puyangensis	BQ4-1, CFCC 10780, JCM 18011	yes	no
Acinetobacter qingfengensis	2BJ1, CFCC 10890, KCTC 32225	yes	no
Acinetobacter radioresistens	ATCC 43998, CIP 103788, DSM 6976, FO-1, IAM 13186, JCM 9326, LMG 10613, NBRC 102413	yes	yes
Acinetobacter refrigeratoris	CCTCC AB 2014197, GIMCC 1.663, KCTC 42011, WB1	yes	no
Acinetobacter rudis	CCUG 57889, CECT 7818, DSM 24031, G30, LMG 26107	yes	yes
Acinetobacter schindleri	CCUG 45560, CIP 107287, CNCTC 6736, DSM 16038, LMG 19576, LUH 5832, NIPH 1034	yes	yes
Acinetobacter seifertii	10090, CCM 8535, CCUG 34785, CIP 110471, Gerner-Smidt 10090, LUH 1472, NIPH 973	yes	yes
Acinetobacter seohaensis	DSM 16313, KCTC 12260, SW-100	yes	no
Acinetobacter septicus	AK001	yes	no
Acinetobacter soli	B1, JCM 15062, KCTC 22184	yes	yes
Acinetobacter tandoii	4N13, CIP 107469, DSM 14670, DSM 14970	yes	yes
Acinetobacter tjernbergiae	7N16, CIP 107465, DSM 14971	yes	yes
Acinetobacter towneri	AB1110, CIP 107472, DSM 14962	yes	yes
Acinetobacter ursingii	CCUG 45559, CIP 107286, CNCTC 6735, DSM 16037, LMG 19575, LUH 3792, NIPH 137	yes	yes
Acinetobacter variabilis	CCM 8555, CCUG 26390, CIP 110486, NIPH 2171, NIPH 546, Tjernberg &amp; Ursing 151a	yes	no
Acinetobacter venetianus	ATCC 31012, CCUG 45561, CIP 110063, LMG 19082, LUH 3904, NIPH 1925, RAG-1	yes	yes
Acinetobacter vivianii	1240, Bouvet &amp; Jeanjean 1240, CCM 8642, CCUG 67967, CIP 110483, NIPH 2168	yes	no
Acrocarpospora corrugata	ATCC 29331, BCRC 12360, CCRC 12360, DSM 43316, IFO 13972, JCM 3181, KCTC 9431, NBRC 13972, NCIB 11120, NCIMB 11120	yes	no
Acrocarpospora macrocephala	DSM 44705, IFO 16266, JCM 10982, NBRC 16266, R-55	yes	no
Acrocarpospora phusangensis	BCC 46906, NBRC 108782, PS33-18	yes	no
Acrocarpospora pleiomorpha	DSM 44706, IFO 16267, JCM 10983, NBRC 16267, R-31	yes	no
Actibacter haliotis	JCM 18868, KACC 17209, W113	yes	no
Actibacter sediminis	JC2129, JCM 14002, KCTC 12704	yes	no
Actibacterium atlanticum	22II-S11-z10, LMG 27158, MCCC 1A09298	yes	yes
Actibacterium mucosum	CECT 7668, KCTC 23349, R46	yes	yes
